,Type,Sensor Size,Effective Pixels,Lenses,Price
1,2,2,24.1,1,0.59
2,3,1,20.1,0,0.49
3,1,2,24.2,1,0.79
4,2,2,24.1,1,0.48
5,1,2,24.1,1,0.69
6,3,1,20.1,0,0.74
7,1,2,20.9,1,0.85
8,1,3,16,1,0.8
9,3,1,20.1,0,0.63
10,3,1,20.1,0,0.75
11,1,3,16,1,0.69
12,3,1,20.1,0,0.75
13,1,3,16,1,0.9
14,3,1,18.1,0,0.42
15,1,2,24.2,1,0.79
16,1,2,24.2,1,0.85
17,1,3,16,1,0.69
18,3,1,16,0,0.39
19,1,3,21.77,1,0.79
20,3,1,18.2,0,0.47
21,1,2,20.9,0,0.7
22,3,1,16,0,0.79
23,2,2,24.1,1,0.74
24,1,2,24.3,1,0.64
25,3,1,20.1,0,0.69
26,1,4,26.2,1,1.3
27,1,2,24.2,1,0.79
28,1,2,24.2,1,1.1
29,1,4,33,1,2.6
30,3,1,20.1,0,1.2
31,1,2,20.9,1,1.2
32,1,2,20.9,1,1.1
33,1,2,26.1,1,1.3
34,1,4,24.2,1,2.1
35,1,2,24.2,1,1.2
36,1,4,45,0,2.6
37,1,2,20.9,1,1.2
38,2,4,30.4,1,2.5
39,1,4,24.2,0,2.5
40,1,2,40.2,0,2.1
41,1,4,24.5,0,1.9
42,1,4,45,0,2.9
43,1,2,26.1,0,1.2
44,1,4,61,0,3
45,1,4,12.1,0,2.5
46,1,2,40.2,1,1.7
47,1,3,25.21,1,2.7
48,1,2,26.16,0,2.4
49,1,4,45.7,0,3
50,1,4,24.2,0,1.7
51,3,1,20.1,0,1.3
52,1,2,24.2,0,1.3
53,1,3,20,0,1.2
54,1,4,24.1,0,3
55,1,2,26.1,1,2
56,1,2,24.2,1,1
57,3,1,12.1,0,0.3
58,3,1,12,0,0.5
59,3,1,20.1,0,0.62
60,1,2,24.3,1,0.79
61,3,1,20.2,0,0.3
62,3,1,20.3,0,0.47
63,2,2,24.1,1,0.89
64,1,3,21.77,1,0.74
65,3,1,12,0,0.49
66,3,1,20,0,0.79
67,3,1,20.1,0,0.67
68,3,1,20.1,0,0.8
69,2,1,20.1,1,0.74
70,4,1,24.7,0,0.5
71,4,1,24.7,0,0.39
72,2,2,24.1,1,0.42
73,2,2,24.1,1,0.59
74,2,2,24.1,1,0.47
75,1,4,21.77,0,0.99
76,1,3,16,1,0.79
77,2,2,24.1,1,0.47
78,1,3,21.77,0,1
79,4,3,20.4,1,1.6
80,4,4,24.2,1,1.5
81,1,3,20.9,0,1
82,4,3,50,1,1.2
83,1,4,33,1,2.6
84,4,1,20.1,0,1.3
85,1,2,24.2,0,1.1
86,2,4,26.2,1,1.2
87,2,3,24.2,1,1.4
88,1,3,20.3,1,1.6
89,1,2,24.2,0,0.79
90,2,2,32.5,1,1.2
91,1,3,16,0,0.89
92,1,4,12,1,2.2
93,1,4,24.2,0,2.3
94,1,2,40.2,0,2.1
95,1,4,24.2,0,2.5
96,1,4,30.3,1,2.5
97,1,3,10.28,0,2
98,1,4,12.1,1,2
99,1,4,30.3,0,0.6
100,1,4,24.2,1,2.2
101,1,4,20,1,1.3
102,2,2,20.9,0,0.96
103,1,2,24.2,0,0.67
104,1,2,25,0,0.99
105,1,4,20,1,2.5
106,1,4,24.5,1,2.6
107,1,4,26.2,1,1.3
108,1,4,24.2,0,2.1
109,2,2,32.5,1,1.8
110,1,4,12.1,0,2.5
111,1,4,24.2,0,2.6
112,2,4,26.2,0,2.3
113,1,2,24.2,1,1.2
114,1,2,26.1,0,1.9
115,1,2,32.5,1,1.8
116,1,2,32.5,1,1.3
117,1,2,40.2,1,2
118,1,2,26,0,2.1
119,1,4,61,0,3
120,1,2,40.2,0,2.1

